101| 101| 25
101| 101| 25
101| 101| 25
101| 101| 25
101| 101| 25
101| 102|510
101| 102|510
101| 102|656
101| 102|791
101| 102|827
101| 145| 46
101| 145| 46
101| 161|309
101| 161|309
101| 162|452
101| 162|623
101| 163| 19
101| 163|460
101| 163|460
101| 202|619
101| 204|635
101| 204|941
101| 205|789
101| 206|797
101| 217| 91
101| 217|127
101| 217|127
101| 217|127
101| 217|127
101| 217|262
101| 217|262
101| 217|262
101| 217|262
101| 217|262
101| 217|910
101| 217|910
101|6412|936
102|7461|507
102|7461|507
102|7461|507
102|9635|756
103| 917|570
103| 917|570
103|9521|878
103|9521|878
104|1647|343
104|1647|343
105|2693|648
105|2693|648
106|2580|803
106|2580|803
106|3931| 28
107|2497|608
107|3108|418
108|3436|289
108|3436|289
120|6032|784
147|5246|546
154|9792|828
154|9792|828
161| 870|451
161| 870|451
184|7361|842
184|7361|842
201| 404|371
230|1212| 74
230|1212|380
230|1212|416
230|1212|697
230|1212|868
259|5129|542
265|3091|837
268|6181|372
275|7028|969
281|2634|765
292|9292|929
304| 101|490
304| 101|490
327|9217|987
327|9217|987
327|9217|987
363|8040|965
386|5827| 97
387| 206|106
387|1709|749
387|1709|749
409| 285|718
409|4171|313
409|4171|313
438|7896| 46
438|7896| 46
484|9142|183
504|7179| 83
505|4783|237
514|3672|754
523|5390|368
562|3725|428
569|7489|567
581|7647|132
581|8402|320
582|8321| 69
582|8321| 69
589|6591|363
593|7839|598
610|1373|903
619| 368|704
650|2638|167
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
652|6825|786
656|5656|565
672|9703|876
673|1689|870
686| 742|407
692|9678|748
703|8048| 59
703|8048| 59
703|8048| 59
703|8048| 59
703|8048| 59
706|5935|153
706|5935|153
706|5935|153
715|4749|648
715|7065|841
747|4747|474
758| 917|594
758| 917|594
768|6839|350
795|6913|492
795|6913|492
795|6913|492
795|6913|492
795|6913|492
795|6913|492
795|6913|492
795|6913|492
795|6913|492
801|7636|373
806|9054| 39
809|3489|158
814|6315|790
837|1692|748
847|8102|473
858|4372|403
874|7431|849
874|7431|849
874|7431|849
917|3658| 14
917|9350|604
929|8149|823
929|8149|823
929|8149|823
938|6841|745
938|6841|745
980|7315|920
